Name of Center,Attached Colleges,District,Course,Subject,Subject Code,Date,Time
"0055-MEERUT COLLEGE, MEERUT","0055-MEERUT COLLEGE, MEERUT",Meerut,M.A.,Defence Studies,G-895,01.01.2000,10:00 Am Onwards
"0055-MEERUT COLLEGE, MEERUT","0003-D.J.COLLEGE, BARAUT (BAGHPAT)",Baghpat,M.A.,Defence Studies,G-895,01.01.2000,10:00 Am Onwards
"0055-MEERUT COLLEGE, MEERUT","0019-M.M.H. COLLEGE, GHAZIABAD",Ghaziabad,M.A.,Defence Studies,G-895,01.01.2000,10:00 Am Onwards
"0055-MEERUT COLLEGE, MEERUT","0024-S.D. COLLEGE, GHAZIABAD",Ghaziabad,M.A.,Defence Studies,G-895,01.01.2000,10:00 Am Onwards
"0055-MEERUT COLLEGE, MEERUT","0028-S.S.V. (P.G.) COLLEGE, HAPUR (PANCHEEL NAGAR)",Hapur,M.A.,Defence Studies,G-895,01.01.2000,10:00 Am Onwards
"0055-MEERUT COLLEGE, MEERUT","0042-N.R.E.C. COLLEGE, KHURJA (BULANDSHAHR)",Bulandshahr,M.A.,Defence Studies,G-895,01.01.2000,10:00 Am Onwards
"0055-MEERUT COLLEGE, MEERUT","0046-DR. AMBEDKAR DEGREE COLLEGE, MEERUT",Meerut,M.A.,Defence Studies,G-895,01.01.2000,10:00 Am Onwards
"0055-MEERUT COLLEGE, MEERUT","0146-COLLEGE OF EDUCATION, BILASPUR (GREATER NOIDA)",Noida,M.A.,Defence Studies,G-895,01.01.2000,10:00 Am Onwards
"0055-MEERUT COLLEGE, MEERUT","0248-SMT VIMLA DEVI DEGREE COLLEGE, BASHLOTA ROAD, BABUGARH CHAWANI, HAPUR",Hapur,M.A.,Defence Studies,G-895,01.01.2000,10:00 Am Onwards
"0055-MEERUT COLLEGE, MEERUT","0641-ELITE COLLEGE OF PROFESSIONAL & STUDIES, NH-58, DADRI, MEERUT",Meerut,M.A.,Defence Studies,G-895,01.01.2000,10:00 Am Onwards
"0055-MEERUT COLLEGE, MEERUT","0977-CHET RAM SHARMA COLLEGE OF EDUCATION, SADARPUR, SECTOR-44, NOIDA",Noida,M.A.,Defence Studies,G-895,01.01.2000,10:00 Am Onwards
