Name of Center,Attached Colleges,District,Course,Subject,Subject Code,Date,Time
"0053-I.?. (P.G.) COLLEGE, MEERUT","0053-I.?. (P.G.) COLLEGE, MEERUT",Meerut,M.A.,Urdu,G-862,01.01.2025,10:00 AM Onwards
"0053-I.?. (P.G.) COLLEGE, MEERUT","0001-D.P.B.S DEGREE COLLEGE, ANOOPSHAHR, (BULANDSHAHR)",Bulandshahr,M.A.,Urdu,G-862,01.01.2025,10:00 AM Onwards
"0053-I.?. (P.G.) COLLEGE, MEERUT","0011-MUSLIM GIRLS DEGREE COLLEGE, BULANDSHAHR",Bulandshahr,M.A.,Urdu,G-862,01.01.2025,10:00 AM Onwards
"0053-I.?. (P.G.) COLLEGE, MEERUT","0014-SMT DILAWARI DEVI KISAN KANYA P.G. COLLEGE, CHINGRAWATHI, BULANDSHSHAR,",Bulandshahr,M.A.,Urdu,G-862,01.01.2025,10:00 AM Onwards
"0053-I.?. (P.G.) COLLEGE, MEERUT","0031-D.N. COLLEGE, GULAOWATHI (BULANDSHAHR)",Bulandshahr,M.A.,Urdu,G-862,01.01.2025,10:00 AM Onwards
"0053-I.?. (P.G.) COLLEGE, MEERUT","0045-A.5. COLLEGE, LAKHAOTI (BULANDSHAHR)",Bulandshahr,M.A.,Urdu,G-862,01.01.2025,10:00 AM Onwards
"0053-I.?. (P.G.) COLLEGE, MEERUT","0112-RAGHUWAR DAYAL PRABHU DAYAL GIRLS (P.G.) COLLEGE, BHAIPUR DORAHA, JAHANGIRABAD, BULANDSHAHR",Bulandshahr,M.A.,Urdu,G-862,01.01.2025,10:00 AM Onwards
"0053-I.?. (P.G.) COLLEGE, MEERUT","0154-SETH TARIF SINGH JAIN COLLEGE, KHATTA PRAHLAD PUR, BAGHPAT",Baghpat,M.A.,Urdu,G-862,01.01.2025,10:00 AM Onwards
"0053-I.?. (P.G.) COLLEGE, MEERUT","0178-GAYTARI DEVI COLLEGE OF EDUCATION, MALAKPUR ROAD, BARAUT (BAGHPAT)",Baghpat,M.A.,Urdu,G-862,01.01.2025,10:00 AM Onwards
"0053-I.?. (P.G.) COLLEGE, MEERUT","0416-CH. BHOPAL SINGH COLLEGE OF EDUCATION, DAHA, BAGHPAT",Baghpat,M.A.,Urdu,G-862,01.01.2025,10:00 AM Onwards
"0053-I.?. (P.G.) COLLEGE, MEERUT","0508-S.P.S. COLLEGE OF HIGHER EDUCATION, (NEAR-RAMALA SUGUR MILL)] BARAUT, BAGHPAT",Baghpat,M.A.,Urdu,G-862,01.01.2025,10:00 AM Onwards
"0053-I.?. (P.G.) COLLEGE, MEERUT","0056-?.A.S. COLLEGE, MEERUT",Meerut,M.A.,Urdu,G-862,01.01.2025,10:00 AM Onwards
"0053-I.?. (P.G.) COLLEGE, MEERUT","0085-FAIZ-E-AM DEGREE COLLEGE, MEERUT",Meerut,M.A.,Urdu,G-862,01.01.2025,10:00 AM Onwards
"0053-I.?. (P.G.) COLLEGE, MEERUT","0097-SANT JOSEPHS GIRLS DEGREE COLLEGE, SARDHANA (MEERUT)",Meerut,M.A.,Urdu,G-862,01.01.2025,10:00 AM Onwards
"0053-I.?. (P.G.) COLLEGE, MEERUT","0242-SAVITA DEVI MAHAVIDYALAYA, MOHIDDINPUR, DELHI ROAD, MEERUT",Meerut,M.A.,Urdu,G-862,01.01.2025,10:00 AM Onwards
"0053-I.?. (P.G.) COLLEGE, MEERUT","0255-SHATAKSHI COLLEE OF EDUCATION, CHITVANA, SHERPUR, MEERUT",Meerut,M.A.,Urdu,G-862,01.01.2025,10:00 AM Onwards
"0053-I.?. (P.G.) COLLEGE, MEERUT","0020-M.B. COLLEGE, DADRI (G.B. NAGAR)",Noida,M.A.,Urdu,G-862,01.01.2025,10:00 AM Onwards
"0053-I.?. (P.G.) COLLEGE, MEERUT","0977-CHET RAM SHARMA COLLEGE OF EDUCATION, SADARPUR, SECTOR 44, NOIDA",Noida,M.A.,Urdu,G-862,01.01.2025,10:00 AM Onwards
"0053-I.?. (P.G.) COLLEGE, MEERUT","0019-?.M.H. COLLEGE, GHAZIABAD",GHAZIABAD,M.A.,Urdu,G-862,01.01.2025,10:00 AM Onwards
"0053-I.?. (P.G.) COLLEGE, MEERUT","0024-S.D. COLLEGE, GHAZIABAD",GHAZIABAD,M.A.,Urdu,G-862,01.01.2025,10:00 AM Onwards
"0053-I.?. (P.G.) COLLEGE, MEERUT","0059-TEJPAL SINGH TYAGI KUSHAL PAL TYAGI MEMORIAL DEGREE COLLEGE, MURADNAGAR, GHAZIABAD",GHAZIABAD,M.A.,Urdu,G-862,01.01.2025,10:00 AM Onwards
"0053-I.?. (P.G.) COLLEGE, MEERUT","0061-JANTA DEGREE COLLEGE, PATLA (GHAZIABAD)",GHAZIABAD,M.A.,Urdu,G-862,01.01.2025,10:00 AM Onwards
"0053-I.?. (P.G.) COLLEGE, MEERUT","0028-S.S.V. (P.G.) COLLEGE, HAPUR (PANCHEEL NAGAR)",Hapur,M.A.,Urdu,G-862,01.01.2025,10:00 AM Onwards
"0053-I.?. (P.G.) COLLEGE, MEERUT","0030-R.S.S. COLLEGE, PILKHUWA (PANCHEEL NAGAR)",Hapur,M.A.,Urdu,G-862,01.01.2025,10:00 AM Onwards
"0053-I.?. (P.G.) COLLEGE, MEERUT","0033-K.D. COLLEGE, SIMBHAOLI HAPUR",Hapur,M.A.,Urdu,G-862,01.01.2025,10:00 AM Onwards
"0053-I.?. (P.G.) COLLEGE, MEERUT","0034-KESHAV MARWAR GIRLS DEGREE COLLEGE, PILKHUWA, HAPUR",Hapur,M.A.,Urdu,G-862,01.01.2025,10:00 AM Onwards
"0053-I.?. (P.G.) COLLEGE, MEERUT","0288-SHRI RAJIV GANDHI GRAMIN COLLEGE, HAPUR",Hapur,M.A.,Urdu,G-862,01.01.2025,10:00 AM Onwards
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
