Name of Center,Attached Colleges,District,Course,Subject,Subject Code,Date,Time
"N.R.E.C. COLLEGE, KHURJA (BULANDSHAHR)","1194-VEERANGANA AWANTI BAI MAHAVIDYALAY, BULANDSHAHR",Bulandshahr,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0003-D.J.COLLEGE, BARAUT (BAGHPAT)",Baghpat,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0002-J.A.V. COLLEGE, BARAUT (BAGHPAT)",Baghpat,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0005-SAMRAT PRITHVIRAJ CHAUHAN DEGREE COLLEGE, BAGHPAT,",Baghpat,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0022-M.M. DEGREE COLLEGE, KHEKHRA (BAGHPAT)",Baghpat,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0054-VEDIC KANYA DEGREE COLLEGE TATIRI, BAGHPAT",Baghpat,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0004-J.V.COLLEGE, BARAUT (BAGHPAT)",Baghpat,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0094-GANDHI VIDYA NIKATEN DEGREE COLLEGE, BUDHPUR-RAMALA (BAGHPAT)",Baghpat,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0135-BARAUT COLLEGE OF EDUCATION, GURANA, AMINAGAR SARAI ROAD, BARAUT (BAGHPAT)",Baghpat,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0154-SETH TARIF SINGH JAIN COLLEGE, KHATTA PRAHLAD PUR, BAGHPAT",Baghpat,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
